what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.registry,3.5.101.R37x_v20110810-1611,"org.eclipse.equinox.registry",1319582857915
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1319582857955
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1319582857978
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1319582858071
started,bundle,org.eclipse.jface,3.7.0.I20110522-1430,"org.eclipse.jface",1319582858076
started,bundle,org.eclipse.jgit,1.1.0.201109151100-r,"org.eclipse.jgit",1319582858076
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1319582858135
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201108301805,"org.eclipse.linuxtools.cdt.autotools.core",1319582858170
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r371_v20110824-0800,"org.eclipse.ltk.core.refactoring",1319582858192
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110505-0800,"org.eclipse.ltk.ui.refactoring",1319582858278
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.2.v20110903-0100,"org.eclipse.mylyn.bugzilla.core",1319582858326
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1319582858333
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1319582858334
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1319582858334
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1319582858349
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1319582858394
started,bundle,org.eclipse.mylyn.context.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.context.ui",1319582858416
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1319582858417
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.2.v20110826-0100,"org.eclipse.mylyn.tasks.ui",1319582858444
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1319582858494
started,bundle,org.eclipse.search,3.7.0.v20110505-0800,"org.eclipse.search",1319582858559
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1319582858597
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1319582858629
started,bundle,org.eclipse.team.cvs.ui,3.3.400.I20110510-0800,"org.eclipse.team.cvs.ui",1319582858666
started,bundle,org.eclipse.team.ui,3.6.100.I20110525-0800,"org.eclipse.team.ui",1319582858678
started,bundle,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui",1319582858683
started,bundle,org.eclipse.ui.console,3.5.100.v20110511,"org.eclipse.ui.console",1319582858704
started,bundle,org.eclipse.ui.editors,3.7.0.v20110517-0800,"org.eclipse.ui.editors",1319582858704
started,bundle,org.eclipse.ui.forms,3.5.100.v20110425,"org.eclipse.ui.forms",1319582858753
started,bundle,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.ide",1319582858770
started,bundle,org.eclipse.ui.navigator,3.5.100.v20110809-2227,"org.eclipse.ui.navigator",1319582858903
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.I20110421-1800,"org.eclipse.ui.navigator.resources",1319582858927
started,bundle,org.eclipse.ui.net,1.2.100.I20110511-0800,"org.eclipse.ui.net",1319582858928
started,bundle,org.eclipse.ui.views,3.6.0.I20110412-0800,"org.eclipse.ui.views",1319582858955
started,bundle,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"org.eclipse.ui.workbench",1319582858979
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.workbench.texteditor",1319582859025
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1319582859054
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1319582859094
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1319582859152
os,sysinfo,,,"linux",1319582859157
arch,sysinfo,,,"x86_64",1319582859157
ws,sysinfo,,,"gtk",1319582859157
locale,sysinfo,,,"pt_BR",1319582859157
processors,sysinfo,,,"4",1319582859157
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1319582859157
java.runtime.version,sysinfo,,,"1.6.0_22-b22",1319582859157
java.specification.name,sysinfo,,,"Java Platform API Specification",1319582859157
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1319582859157
java.specification.version,sysinfo,,,"1.6",1319582859157
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1319582859157
